編號,形狀,克拉,顏色,淨度,切工,拋光,對稱,螢光,證書,Rapaport基準價,市場折扣,切工調整,螢光調整,證書調整,調整後每卡價,總估值USD,總估值HKD,備註
D001,RBC,0.52,F,VS2,EX,EX,EX,None,GIA,4200,-0.28,0.08,0,0,3266,1698,13278,3EX無螢光
D002,PR,0.75,G,VS1,-,VG,VG,Faint,GIA,3800,-0.28,0,-0.01,0,2709,2032,15890,公主方
D003,RBC,1.1,E,SI1,VG,VG,G,None,IGI,5500,-0.28,-0.15,0,-0.05,3207,3528,27589,切工較差
D004,EM,1.25,H,VS2,-,EX,EX,Medium,GIA,4800,-0.28,0,-0.03,0,3352,4190,32766,異形鑽
D005,RBC,0.9,I,VS2,EX,EX,EX,Strong,GIA,3600,-0.28,0.08,-0.05,0,2664,2398,18752,3EX但強螢光
D006,RBC,1.05,G,VS2,EX,EX,EX,None,GIA,7800,-0.28,0.08,0,0,6062,6365,49731,標準好貨
D007,PR,0.85,F,VVS2,-,VG,VG,Faint,GIA,4800,-0.28,0,-0.01,0,3414,2902,22674,高色公主方
D008,OV,1.2,H,VS1,-,EX,VG,None,GIA,5200,-0.28,0,0,0,3744,4493,35135,橢圓形
D009,RBC,0.7,F,VS1,EX,EX,VG,None,GIA,5800,-0.28,0,0,0,4176,2923,22859,非3EX
D010,CU,1.0,G,VS2,-,VG,VG,Medium,IGI,4500,-0.28,0,-0.03,-0.05,2984,2984,23335,枕形IGI證
